2.51    107977.55415733463    2.7162956655717063
2.52    111951.20946578644    2.7231630291527575
2.53    116054.1825295206    2.7300238223352244
2.54    120290.13666128696    2.73687816503194
2.55    124662.82365878281    2.743726176420204
2.56    129176.08557639932    2.750567974957592
2.57    133833.8565251974    2.75740367839755
2.58    138640.16450145328    2.7642334038047895
2.59    143599.13324410695    2.7710572675704874
2.6    148714.98412146035    2.7778753854272904
2.61    153992.03804746165    2.7846878724641377
2.62    159434.71742793094    2.791494843140898
2.63    165047.5481370657    2.7982964113028306
2.64    170835.1615245887    2.8050926901948747
2.65    176802.29645388233    2.811883792475768
2.66    182953.80137147574    2.818669830232008
2.67    189294.63640823643    2.8254509149916456
2.68    195829.875512636    2.832227157737933
2.69    202564.70861644883    2.8389986689228137
2.7    209504.44383325824    2.8457655584802697
2.71    216654.50969013397    2.852527935839528
2.72    224020.45739286247    2.8592859099381256
2.73    231607.96312509727    2.8660395892348407
2.74    239422.83038181943    2.8727890817224973
2.75    247470.9923374774    2.8795344949406383
2.76    255758.5142492049    2.886275935988079
2.77    264291.59589549294    2.893013511535342
2.78    273076.5740507107    2.8997473278369728
2.79    282119.9249958742    2.906477490743749
2.8    291428.26706604665    2.913204105714778
2.81    301008.36323478405    2.91992727782949
2.82    310867.1237360136    2.926647111799531
2.83    321011.60872376425    2.933363711980557
2.84    331449.03097014216    2.940077182383935
2.85    342186.75860197766    2.94678762668835
2.86    353232.317876541    2.953495148251327
2.87    364593.3959967595    2.9601998501206674
2.88    376277.84396634065    2.9669018350458014
2.89    388293.67948523693    2.9736012054890675
2.9    400649.089885866    2.9802980636369094
2.91    413352.435110526    2.9869925114110063
2.92    426412.25073042564    2.993684650479332
2.93    439837.2510067761    3.000374582267148
2.94    453636.33199436794    3.0070624079679322
2.95    467818.5746880903    3.013748228554248
2.96    482393.2482128159    3.0204321447885585
2.97    497369.81305712066    3.02711425723398
2.98    512757.9243512642    3.033794666264991
2.99    528567.4351899078    3.0404734720780877
